hour,activated_up,activated_dn,reserve_up,reserve_dn,act_pct_up,act_pct_dn,price_up_eur_mwh,price_dn_eur_mwh,spot_eur_mwh
2026-03-05T01:00,0.1,99.6,4400,4400,0.0023,2.2636,79.37,-7.02,379.33
2026-03-05T02:00,21.6,62.1,4000,4000,0.54,1.5525,402.65,191.4,341.91
2026-03-05T03:00,1.5,28,4000,4000,0.0375,0.7,287.69,239.05,337.19
2026-03-05T04:00,37.3,18.5,4000,4000,0.9325,0.4625,345.5,174.13,296.07
2026-03-05T05:00,0,304.4,4000,4000,0,7.61,227.54,126.86,304.84
2026-03-05T06:00,2,97.7,4100,4000,0.0488,2.4425,269.76,225.39,345.68
2026-03-05T07:00,48.6,77.9,4800,4600,1.0125,1.6935,467.57,258.42,446.06
2026-03-05T08:00,4.8,49.8,5000,4900,0.096,1.0163,425.23,374.11,580.52
2026-03-05T09:00,248,8.5,5800,5800,4.2759,0.1466,605.69,346.49,573.85
2026-03-05T10:00,123.2,2.7,5800,5800,2.1241,0.0466,520.84,152.25,445.27
2026-03-05T11:00,67.7,375.2,5500,5500,1.2309,6.8218,342.11,27.73,373.71
2026-03-05T12:00,461,14.9,5200,5200,8.8654,0.2865,702.11,167.33,250.76
2026-03-05T13:00,309,2.8,5200,5200,5.9423,0.0538,423.85,120.44,163.62
2026-03-05T14:00,135.3,35.8,5200,5200,2.6019,0.6885,224.35,81.29,153.09
2026-03-05T15:00,191.3,71.6,5200,5200,3.6788,1.3769,357.55,100.12,162.47
2026-03-05T16:00,139.9,6.1,5200,5200,2.6904,0.1173,395.01,77.75,190.26
2026-03-05T17:00,151.6,24.6,5350,5350,2.8336,0.4598,466.58,136.25,275.32
2026-03-05T18:00,500.3,1.6,6000,6000,8.3383,0.0267,532.34,339.82,382.45
2026-03-05T19:00,6.9,158.7,5950,5950,0.116,2.6672,446.25,281.7,497.01
2026-03-05T20:00,3.8,221.9,4900,4900,0.0776,4.5286,480.28,383.74,633.97
2026-03-05T21:00,45.9,14,4800,4800,0.9562,0.2917,496.06,281.15,503.64
2026-03-05T22:00,13.6,23,4300,4400,0.3163,0.5227,377.93,236.78,383.23
2026-03-05T23:00,83.8,9.4,4000,4400,2.095,0.2136,378.28,113.77,343.98
2026-03-06T00:00,48.9,31.6,4200,4400,1.1643,0.7182,379.67,108.52,288.8
2026-03-06T01:00,146.1,82.5,4800,4800,3.0437,1.7187,322.03,75.25,248.23
2026-03-06T02:00,38.8,75.2,4800,4800,0.8083,1.5667,269.77,67.73,222.85
2026-03-06T03:00,57.5,23.5,4800,4800,1.1979,0.4896,249.96,88.39,206.04
2026-03-06T04:00,47.5,12.2,4800,4800,0.9896,0.2542,223.94,72.51,176.71
2026-03-06T05:00,0.7,262.2,4800,4800,0.0146,5.4625,132.45,-35.55,139.05
2026-03-06T06:00,4.7,382.3,4800,4800,0.0979,7.9646,127.95,-40.1,149.35
2026-03-06T07:00,2.2,381.1,4800,4800,0.0458,7.9396,202.7,-16.11,200.12
2026-03-06T08:00,89.6,193.5,5000,4900,1.792,3.949,295.14,51.78,242.63
2026-03-06T09:00,7.8,323,5800,5800,0.1345,5.569,269.97,84.33,298.79
2026-03-06T10:00,70.2,202.9,5800,5800,1.2103,3.4983,284.18,79.56,276.8
2026-03-06T11:00,96.3,70.3,5500,5500,1.7509,1.2782,312.85,80.19,258.27
2026-03-06T12:00,5.8,166.6,5200,5200,0.1115,3.2038,217.95,40.29,257.06
2026-03-06T13:00,22.2,9,5200,5200,0.4269,0.1731,248.24,127.73,227.56
2026-03-06T14:00,74.7,229.9,5200,5200,1.4365,4.4212,235.52,28.37,209.79
2026-03-06T15:00,189.9,159.6,5200,5200,3.6519,3.0692,258.82,73.83,200.71
2026-03-06T16:00,56.9,435,5200,5200,1.0942,8.3654,209.15,-9.49,198.28
2026-03-06T17:00,126.7,35.1,5350,5350,2.3682,0.6561,286.61,64.66,200.98
2026-03-06T18:00,27.8,36,6000,6000,0.4633,0.6,255.32,88.6,212.59
2026-03-06T19:00,214.9,5.4,5950,5950,3.6118,0.0908,372.3,174.33,264.99
2026-03-06T20:00,9.9,129.5,4900,4900,0.202,2.6429,387.15,231.82,390.41
2026-03-06T21:00,20.4,22.2,4800,4800,0.425,0.4625,370.01,226.61,404.35
2026-03-06T22:00,5.2,78.7,4800,4800,0.1083,1.6396,353.29,191.26,389.28
2026-03-06T23:00,107.6,9.4,4800,4800,2.2417,0.1958,390.78,83.69,363.03
2026-03-07T00:00,138.2,83.1,4800,4800,2.8792,1.7312,395.18,101.32,333.19
2026-03-07T01:00,122.2,42.6,4200,4200,2.9095,1.0143,377.79,143.55,300.31
2026-03-07T02:00,155.2,83.8,4000,4000,3.88,2.095,351.75,169.01,257.87
2026-03-07T03:00,151.3,6.9,4000,4000,3.7825,0.1725,290.56,105.16,245.98
2026-03-07T04:00,8,141.3,4000,4000,0.2,3.5325,156.12,46.08,214.98
2026-03-07T05:00,17.8,15.3,4000,4000,0.445,0.3825,205.23,93.7,202.48
2026-03-07T06:00,0.6,322.9,4000,4000,0.015,8.0725,196.25,19.18,214.2
2026-03-07T07:00,2,370.9,4000,4000,0.05,9.2725,199.7,-380.72,240
2026-03-07T08:00,1.3,357.6,4900,4800,0.0265,7.45,226.7,47.7,244.32
2026-03-07T09:00,0,566.3,5800,5800,0,9.7638,202.29,45.11,254.7
2026-03-07T10:00,4.6,618.7,5800,5800,0.0793,10.6672,191.99,-12.47,216.03
2026-03-07T11:00,124.9,8.3,5500,5500,2.2709,0.1509,241.89,66.58,181.14
2026-03-07T12:00,3.2,692.2,5200,5200,0.0615,13.3115,6.68,-159.85,116.4
2026-03-07T13:00,20.4,62,5200,5200,0.3923,1.1923,65.64,2.54,65.98
2026-03-07T14:00,372.8,1,5200,5200,7.1692,0.0192,272.74,11.68,17.68
2026-03-07T15:00,594.4,0,5200,5200,11.4308,0,583.44,110.05,79.15
2026-03-07T16:00,303.9,116.8,5200,5200,5.8442,2.2462,304.56,27.96,136
2026-03-07T17:00,55.6,162.5,5350,5350,1.0393,3.0374,155.87,-16.64,159.28
2026-03-07T18:00,163.6,267.9,6000,6000,2.7267,4.465,244.61,47.36,237.19
2026-03-07T19:00,32.1,129.2,5950,5950,0.5395,2.1714,357.85,264.23,389.57
2026-03-07T20:00,13.1,59.4,4900,4900,0.2673,1.2122,445.54,375.61,537.84
2026-03-07T21:00,2.1,258.1,4800,4800,0.0438,5.3771,384.09,314.33,507.72
2026-03-07T22:00,24.2,26.2,4300,4000,0.5628,0.655,399.41,334.15,431.57
2026-03-07T23:00,191.8,1.9,4000,4000,4.795,0.0475,451.48,117.57,389.99
2026-03-08T00:00,227.2,3.1,4000,4000,5.68,0.0775,446.65,107.24,366.32
2026-03-08T01:00,4.2,132.4,4200,4200,0.1,3.1524,376.59,242.36,426.6
2026-03-08T02:00,1.6,266.6,4000,4000,0.04,6.665,322.57,194.83,390.83
2026-03-08T03:00,0.7,456.9,4000,4000,0.0175,11.4225,266.9,116.13,371.3
2026-03-08T04:00,0.2,289.1,4000,4000,0.005,7.2275,263.6,134.53,343.98
2026-03-08T05:00,4.7,112.3,4000,4000,0.1175,2.8075,265.61,196.55,331.71
2026-03-08T06:00,12.2,17.2,4000,4000,0.305,0.43,257.03,213.11,338.82
2026-03-08T07:00,0,295.1,4000,4000,0,7.3775,261.2,139.11,336.84
2026-03-08T08:00,15.8,32.9,4900,4800,0.3224,0.6854,276.96,210.31,347.91
2026-03-08T09:00,113.4,8.8,5800,5800,1.9552,0.1517,430.37,290.96,325.33
2026-03-08T10:00,21.9,146.4,5800,5800,0.3776,2.5241,208.77,76.75,263.37
2026-03-08T11:00,135.6,31.5,5500,5500,2.4655,0.5727,215.82,27.96,150.27
2026-03-08T12:00,9.8,56.2,5200,5200,0.1885,1.0808,85.47,13.54,86.59
2026-03-08T13:00,36.2,150.6,5200,5200,0.6962,2.8962,48.69,-21.53,51.9
2026-03-08T14:00,138.2,9.3,5200,5200,2.6577,0.1788,134.4,24.18,69.12
2026-03-08T15:00,133.6,112.2,5200,5200,2.5692,2.1577,174.04,5.56,73.17
2026-03-08T16:00,417.1,0,5200,5200,8.0212,0,331.2,74.5,87.92
2026-03-08T17:00,419.4,7.9,5350,5350,7.8393,0.1477,495.35,74.95,131.08
2026-03-08T18:00,203.3,30.1,6000,6000,3.3883,0.5017,316.52,173.25,249.29
2026-03-08T19:00,27.1,104.1,5950,5950,0.4555,1.7496,437.07,213.15,485.06
2026-03-08T20:00,9.3,18.8,4900,4900,0.1898,0.3837,458.02,347.73,616.21
2026-03-08T21:00,139.3,12.2,4800,4800,2.9021,0.2542,509.31,379.31,562.12
2026-03-08T22:00,84.4,55.7,4300,4000,1.9628,1.3925,553.96,369.94,544.95
2026-03-08T23:00,53.5,15.1,4000,4000,1.3375,0.3775,461.03,278.31,496.33
2026-03-09T00:00,139,6.3,4000,4000,3.475,0.1575,494.11,263.26,473.2
2026-03-09T01:00,78.2,17.3,4400,4400,1.7773,0.3932,512.63,193.45,461.98
2026-03-09T02:00,8.3,132.4,4000,4000,0.2075,3.31,398.61,280.32,440.3
2026-03-09T03:00,13.9,38.3,4000,4000,0.3475,0.9575,347.48,275.07,388.41
2026-03-09T04:00,9.6,48.9,4000,4000,0.24,1.2225,296.86,257.68,321.37
2026-03-09T05:00,10.9,30.8,4000,4000,0.2725,0.77,315.68,353.47,329.88
2026-03-09T06:00,6.9,41.3,4100,4000,0.1683,1.0325,342.05,301.3,417.52
2026-03-09T07:00,45.8,93.5,4800,4600,0.9542,2.0326,476.62,269.19,461.02
2026-03-09T08:00,204.7,17.1,5000,4900,4.094,0.349,587.68,250.89,611.06
2026-03-09T09:00,132.4,88.4,5800,5800,2.2828,1.5241,572.03,366.75,627.19
2026-03-09T10:00,17.8,164.7,5800,5800,0.3069,2.8397,465.89,276.81,488.75
2026-03-09T11:00,0.4,529.7,5500,5500,0.0073,9.6309,332.3,131.24,436.76
2026-03-09T12:00,4.2,151.2,5200,5200,0.0808,2.9077,354.4,170.77,374.02
2026-03-09T13:00,197.2,3.2,5200,5200,3.7923,0.0615,425.14,195.95,336.51
2026-03-09T14:00,87.8,116.6,5200,5200,1.6885,2.2423,304.15,97.26,321.1
2026-03-09T15:00,319.1,0.3,5200,5200,6.1365,0.0058,523.16,237.16,329.21
2026-03-09T16:00,380.1,1.4,5200,5200,7.3096,0.0269,608.11,199.02,373.15
2026-03-09T17:00,157.7,6.9,5350,5350,2.9477,0.129,465.63,214.93,392.4
2026-03-09T18:00,118.8,37.8,6000,6000,1.98,0.63,506.59,134.74,456.19
2026-03-09T19:00,253.4,0.2,5950,5950,4.2588,0.0034,568.69,264.29,541.42
2026-03-09T20:00,52.2,205.3,4900,4900,1.0653,4.1898,550.83,407.26,808.44
2026-03-09T21:00,133,135.2,4800,4800,2.7708,2.8167,645.71,396.68,788.47
2026-03-09T22:00,273.8,87.6,4300,4400,6.3674,1.9909,736.08,343.6,659.2
2026-03-09T23:00,3.6,329.3,4000,4400,0.09,7.4841,451.49,383.72,576.09
2026-03-10T00:00,0.1,215.7,4200,4400,0.0024,4.9023,382.7,276.94,524.13
2026-03-10T01:00,34,36.9,4400,4400,0.7727,0.8386,512.08,289.53,560.11
2026-03-10T02:00,27.3,7.4,4000,4000,0.6825,0.185,485.95,341.48,513.14
2026-03-10T03:00,42.3,5.4,4000,4000,1.0575,0.135,504.24,368.66,486.31
2026-03-10T04:00,14.2,29,4000,4000,0.355,0.725,373.94,245.48,432.55
2026-03-10T05:00,0,97.1,4000,4000,0,2.4275,335.89,319.45,432.33
2026-03-10T06:00,67.9,11.6,4100,4000,1.6561,0.29,494.28,199.06,473.58
2026-03-10T07:00,11.2,174.4,4800,4600,0.2333,3.7913,497.95,359.05,551
2026-03-10T08:00,39.8,10.6,5000,4900,0.796,0.2163,553.88,233.28,633.34
2026-03-10T09:00,135.8,91.6,5800,5800,2.3414,1.5793,617.75,336.19,665.11
2026-03-10T10:00,85,48.7,5800,5800,1.4655,0.8397,553.07,334.96,556.9
2026-03-10T11:00,40.4,146.6,5500,5500,0.7345,2.6655,456.85,274.4,453.35
2026-03-10T12:00,29,23.4,5200,5200,0.5577,0.45,430.93,228.85,402.77
2026-03-10T13:00,60.8,87.7,5200,5200,1.1692,1.6865,389.79,223.72,396.06
2026-03-10T14:00,65.6,12.9,5200,5200,1.2615,0.2481,395.32,151.68,380.72
2026-03-10T15:00,226.7,1.6,5200,5200,4.3596,0.0308,438.91,217.14,383.11
2026-03-10T16:00,137.7,13.7,5200,5200,2.6481,0.2635,443.54,234.16,397.81
2026-03-10T17:00,58.4,17.6,5350,5350,1.0916,0.329,461.63,208.74,418.66
2026-03-10T18:00,1.7,406.3,6000,6000,0.0283,6.7717,340.96,181.79,435.2
2026-03-10T19:00,27.9,180.4,5950,5950,0.4689,3.0319,532.01,333.13,601.45
2026-03-10T20:00,2.8,123.6,4900,4900,0.0571,2.5224,410.24,469.29,762.47
2026-03-10T21:00,13.7,81.4,4800,4800,0.2854,1.6958,541.2,444.94,988.61
2026-03-10T22:00,39.4,189.7,4300,4400,0.9163,4.3114,551.97,413.43,882.1
2026-03-10T23:00,64.8,133.3,4000,4400,1.62,3.0295,541.81,399.23,710.95
2026-03-11T00:00,16,216.9,4200,4400,0.381,4.9295,484.64,428.04,621.02
2026-03-11T01:00,42.9,33.7,4400,4400,0.975,0.7659,514.86,290.4,562.69
2026-03-11T02:00,19.3,66.3,4000,4000,0.4825,1.6575,443.16,250.68,496.31
2026-03-11T03:00,2.8,186.1,4000,4000,0.07,4.6525,427.88,286.12,481.16
2026-03-11T04:00,2.9,243.1,4000,4000,0.0725,6.0775,383.34,268.75,448.03
2026-03-11T05:00,4.7,228.9,4000,4000,0.1175,5.7225,404.09,274.57,464.52
2026-03-11T06:00,51.6,178,4100,4000,1.2585,4.45,463.49,295.14,492.79
2026-03-11T07:00,132.7,367.7,4800,4600,2.7646,7.9935,464.78,255.1,517.14
2026-03-11T08:00,140.1,35.3,5000,4900,2.802,0.7204,520.51,388.6,577.55
2026-03-11T09:00,387.4,59.2,5800,5800,6.6793,1.0207,546.64,359.55,499.76
2026-03-11T10:00,24.4,211.9,5800,5800,0.4207,3.6534,229.46,116.08,280.54
2026-03-11T11:00,5.3,394.9,5500,5500,0.0964,7.18,73.72,-16.06,129.21
2026-03-11T12:00,2.9,786.8,5200,5200,0.0558,15.1308,20.84,-35.59,79.29
2026-03-11T13:00,3.7,175.6,5200,5200,0.0712,3.3769,85.65,-16.58,60.85
2026-03-11T14:00,18.4,48.4,5200,5200,0.3538,0.9308,110.92,4.36,91.29
2026-03-11T15:00,16.4,245.7,5200,5200,0.3154,4.725,92.86,-13.48,132.5
2026-03-11T16:00,12.8,67.7,5200,5200,0.2462,1.3019,101.23,4.45,158.76
2026-03-11T17:00,53.7,179.5,5350,5350,1.0037,3.3551,168.37,8.79,214.86
2026-03-11T18:00,86,151.6,6000,6000,1.4333,2.5267,333.98,84.86,357.68
2026-03-11T19:00,463.6,0.5,5950,5950,7.7916,0.0084,674.63,447.28,516.34
2026-03-11T20:00,236.3,11.2,4900,4900,4.8224,0.2286,604.46,265.09,652.28
2026-03-11T21:00,96.6,81.4,4800,4800,2.0125,1.6958,521.55,417.61,951.79
2026-03-11T22:00,27.6,233.4,4300,4400,0.6419,5.3045,477.97,393.89,687.4
2026-03-11T23:00,10.1,62.9,4000,4400,0.2525,1.4295,431.21,328.52,596.45
2026-03-12T00:00,7.8,111.6,4200,4400,0.1857,2.5364,426.47,333.95,537.53
2026-03-12T01:00,264.1,22.9,4400,4400,6.0023,0.5205,464.59,242.55,401.87
2026-03-12T02:00,9.3,52.8,4000,4000,0.2325,1.32,345.29,297.79,376.96
2026-03-12T03:00,8.6,32.2,4000,4000,0.215,0.805,311.87,270.55,377.78
2026-03-12T04:00,48.2,10.5,4000,4000,1.205,0.2625,393.12,219.65,374.68
2026-03-12T05:00,293.6,0.6,4000,4000,7.34,0.015,463.62,303.49,376.52
2026-03-12T06:00,102,46.3,4100,4000,2.4878,1.1575,403,311.55,380
2026-03-12T07:00,104.7,20.8,4800,4600,2.1813,0.4522,454.73,166.38,401.64
2026-03-12T08:00,35.1,64.8,5000,4900,0.702,1.3224,435.16,268.32,449.54
2026-03-12T09:00,22.9,210.4,5800,5800,0.3948,3.6276,427.04,224.17,399.52
2026-03-12T10:00,21.4,354.2,5800,5800,0.369,6.1069,243.9,-34.81,208.61
2026-03-12T11:00,3.3,441.1,5500,5500,0.06,8.02,0.37,-36.26,15.46
2026-03-12T12:00,19,148.6,5200,5200,0.3654,2.8577,27.93,-14.58,-0.02
2026-03-12T13:00,78,244.3,5200,5200,1.5,4.6981,82.16,-28.59,-0.02
2026-03-12T14:00,4.1,141.3,5200,5200,0.0788,2.7173,0.39,-11.43,-0.04
2026-03-12T15:00,114.6,190.3,5200,5200,2.2038,3.6596,13.17,-14.54,-0.03
2026-03-12T16:00,1,312.7,5200,5200,0.0192,6.0135,0,-22.41,-0.03
2026-03-12T17:00,2.7,310.5,5350,5350,0.0505,5.8037,-13.35,-25.89,-0.01
2026-03-12T18:00,96.5,68.6,6000,6000,1.6083,1.1433,91.99,-10.51,52.09
2026-03-12T19:00,263.4,16.1,5950,5950,4.4269,0.2706,444.99,230.99,319.35
2026-03-12T20:00,89.6,30.9,4900,4900,1.8286,0.6306,483.51,269.68,529.53
2026-03-12T21:00,23.9,90.6,4800,4800,0.4979,1.8875,487.72,451.3,677.97
2026-03-12T22:00,27.2,125.1,4300,4400,0.6326,2.8432,481.11,381.15,607.88
2026-03-12T23:00,139.8,82.2,4000,4400,3.495,1.8682,451.51,293.84,476.74
2026-03-13T00:00,8.1,202.3,4200,4400,0.1929,4.5977,460.52,239.33,409.09
2026-03-13T01:00,81.4,159,4400,4400,1.85,3.6136,297.94,123.67,250.43
2026-03-13T02:00,79.7,20.3,4000,4000,1.9925,0.5075,249.66,71.3,206.04
2026-03-13T03:00,73.2,4.3,4000,4000,1.83,0.1075,237.57,16.83,161.24
2026-03-13T04:00,68.9,101.6,4000,4000,1.7225,2.54,212.98,124.37,163.28
2026-03-13T05:00,128.2,107.7,4000,4000,3.205,2.6925,257.73,39.42,154.06
2026-03-13T06:00,4.3,195.1,4100,4000,0.1049,4.8775,155.99,59.64,162.83
2026-03-13T07:00,12.3,420.4,4800,4600,0.2563,9.1391,224.92,21.5,205.7
2026-03-13T08:00,272.6,14.4,5000,4900,5.452,0.2939,444.39,160.48,298.33
2026-03-13T09:00,335.1,44,5800,5800,5.7776,0.7586,340.71,113.09,195.42
2026-03-13T10:00,26.4,179.3,5800,5800,0.4552,3.0914,42.43,-15.62,38.16
2026-03-13T11:00,2.4,266.8,5500,5500,0.0436,4.8509,11.61,-20.95,0.92
2026-03-13T12:00,120.2,62.2,5200,5200,2.3115,1.1962,15.14,-3.47,-0.03
2026-03-13T13:00,6.2,136.6,5200,5200,0.1192,2.6269,0.23,-21.86,-1.49
2026-03-13T14:00,133.7,72.2,5200,5200,2.5712,1.3885,8.34,-6.29,-1.78
2026-03-13T15:00,152,93.7,5200,5200,2.9231,1.8019,13.36,-7.02,-1.98
2026-03-13T16:00,12.7,247.2,5200,5200,0.2442,4.7538,1.9,-15.01,-1.04
2026-03-13T17:00,135.8,46.9,5350,5350,2.5383,0.8766,73.92,-4.96,-0.02
2026-03-13T18:00,438.3,12.5,6000,6000,7.305,0.2083,270.56,18.17,9.79
2026-03-13T19:00,546.4,10,5950,5950,9.1832,0.1681,469.47,183.49,196.86
2026-03-13T20:00,12.5,465.1,4900,4900,0.2551,9.4918,244.23,149.7,379.48
2026-03-13T21:00,0,657.4,4800,4800,0,13.6958,200,36.34,384.81
2026-03-13T22:00,13.3,396.2,4300,4400,0.3093,9.0045,249.69,-378.64,364.16
2026-03-13T23:00,8.5,249.2,4000,4400,0.2125,5.6636,214.85,73.94,301.28
2026-03-14T00:00,36.4,300.2,4200,4400,0.8667,6.8227,206.62,-79.82,170.58
2026-03-14T01:00,237.2,28.2,4200,4200,5.6476,0.6714,386.82,57.78,139.21
2026-03-14T02:00,38.5,17.7,4000,4000,0.9625,0.4425,211.67,32.38,80.32
2026-03-14T03:00,74.5,16.2,4000,4000,1.8625,0.405,186.51,5.37,44.59
2026-03-14T04:00,13.8,85.9,4000,4000,0.345,2.1475,66.76,-25.57,37.69
2026-03-14T05:00,137.3,6.5,4000,4000,3.4325,0.1625,242.08,2.97,31.25
2026-03-14T06:00,71.3,14.3,4000,4000,1.7825,0.3575,175.8,9.63,39.25
2026-03-14T07:00,225.3,130.8,4000,4000,5.6325,3.27,320.38,-54.19,41.02
2026-03-14T08:00,216.1,14.5,4900,4800,4.4102,0.3021,261.75,18.07,51.4
2026-03-14T09:00,668.4,0.3,5800,5800,11.5241,0.0052,507.01,16.69,30.61
2026-03-14T10:00,156,10.9,5800,5800,2.6897,0.1879,222.55,1.2,14.76
2026-03-14T11:00,10.6,403.1,5500,5500,0.1927,7.3291,26.61,-165.84,1.7
2026-03-14T12:00,251.6,127.2,5200,5200,4.8385,2.4462,169.44,-11.4,0
2026-03-14T13:00,8.2,446.4,5200,5200,0.1577,8.5846,1.94,-26.57,-0.01
2026-03-14T14:00,0,508.3,5200,5200,0,9.775,0,-27.75,0
2026-03-14T15:00,0,644,5200,5200,0,12.3846,0,-37.56,0
2026-03-14T16:00,8.4,557.7,5200,5200,0.1615,10.725,0.87,-111.25,0
2026-03-14T17:00,7.2,231.2,5350,5350,0.1346,4.3215,4.6,-33.16,0.93
2026-03-14T18:00,83.8,194.4,6000,6000,1.3967,3.24,72.53,-18.07,14.79
2026-03-14T19:00,204.1,51,5950,5950,3.4303,0.8571,137.37,21.23,63.78
2026-03-14T20:00,121.4,90,4900,4900,2.4776,1.8367,205.26,4.7,135.03
2026-03-14T21:00,4.2,178.7,4800,4800,0.0875,3.7229,166.26,46.87,182.76
2026-03-14T22:00,92.7,44.4,4300,4000,2.1558,1.11,215.6,49.88,182.28
2026-03-14T23:00,190.7,12.6,4000,4000,4.7675,0.315,241.12,54.76,155.04
2026-03-15T00:00,10.9,105.7,4000,4000,0.2725,2.6425,135.16,7.65,135.22
2026-03-15T01:00,443.7,57.9,4200,4200,10.5643,1.3786,493.04,-7.96,17.43
2026-03-15T02:00,160.6,7.9,4000,4000,4.015,0.1975,222.52,-4.47,9.7
2026-03-15T03:00,93.3,8.2,4000,4000,2.3325,0.205,151.87,3.6,15.12
2026-03-15T04:00,54.2,5.4,4000,4000,1.355,0.135,371.13,1.41,7.75
2026-03-15T05:00,60.7,21.4,4000,4000,1.5175,0.535,124.77,-4.19,4.26
2026-03-15T06:00,120.3,201.1,4000,4000,3.0075,5.0275,116.76,-66.21,3.28
2026-03-15T07:00,96.5,103.6,4000,4000,2.4125,2.59,118.18,-28.22,3.74
2026-03-15T08:00,175.5,54.5,4900,4800,3.5816,1.1354,194.45,-47.52,6.51
2026-03-15T09:00,0.9,586.7,5800,5800,0.0155,10.1155,-45.03,-120.43,1.46
2026-03-15T10:00,0,1219.6,5800,5800,0,21.0276,-48.43,-874.81,-2.44
